ISSN,Title,Business Model,USD,EUR,GBP,JPY,ASJC Code(S)
0885-2006,Early Childhood Research Quarterly,Hybrid,4050.00,"3,690","3,240","490,090",No Match
0378-3782,Early Human Development,Hybrid,3730.00,"3,400","2,990","451,370",No Match
0012-821X,Earth and Planetary Science Letters,Hybrid,4420.00,"4,030","3,540","534,860",No Match
2950-1547,Earth Energy Science,Subsidised,**,**,**,**,No Match
2950-4759,Earth History and Biodiversity,Open access,2200.00,"2,010","1,760","266,220",No Match
2589-8116,Earth System Governance,Open access,2120.00,"1,930","1,700","256,540",No Match
0012-8252,Earth-Science Reviews,Hybrid,4940.00,"4,510","3,950","597,790",No Match
2772-4670,Earthquake Research Advances,Subsidised,**,**,**,**,No Match
1674-4519,Earthquake Science,Subsidised,**,**,**,**,No Match
1471-0153,Eating Behaviors,Hybrid,3160.00,"2,880","2,530","382,390",No Match
2352-3964,EBioMedicine,Open access,5250.00,"4,790","4,200","635,300",No Match
2589-5370,EClinicalMedicine,Open access,5250.00,"4,790","4,200","635,300",No Match
2772-9850,Eco-Environment & Health,Open access,2500.00,"2,280","2,000","302,530",No Match
1642-3593,Ecohydrology & Hydrobiology,Hybrid,2800.00,"2,550","2,240","338,830",No Match
1476-945X,Ecological Complexity,Hybrid,2900.00,"2,650","2,320","350,930",No Match
0921-8009,Ecological Economics,Hybrid,3450.00,"3,150","2,760","417,480",No Match
0925-8574,Ecological Engineering,Hybrid,3650.00,"3,330","2,920","441,690",No Match
2950-5097,Ecological Frontiers,Hybrid,2500.00,"2,280","2,000","302,530",No Match
2405-9854,Ecological Genetics and Genomics,Hybrid,2470.00,"2,250","1,980","298,890",No Match
1470-160X,Ecological Indicators,Open access,3200.00,"2,920","2,560","387,230",No Match
1574-9541,Ecological Informatics,Open access,2430.00,"2,220","1,950","294,050",No Match
0304-3800,Ecological Modelling,Hybrid,2650.00,"2,420","2,120","320,680",No Match
2452-3062,Econometrics and Statistics,Hybrid,1740.00,"1,590","1,390","210,560",No Match
1517-7580,EconomiA,Subsidised,**,**,**,**,No Match
0313-5926,Economic Analysis and Policy,Hybrid,2890.00,"2,640","2,310","349,720",No Match
0264-9993,Economic Modelling,Hybrid,3390.00,"3,090","2,710","410,220",No Match
0939-3625,Economic Systems,Hybrid,2580.00,"2,350","2,070","312,210",No Match
1570-677X,Economics & Human Biology,Hybrid,3050.00,"2,780","2,440","369,080",No Match
0165-1765,Economics Letters,Hybrid,2810.00,"2,560","2,250","340,040",No Match
0272-7757,Economics of Education Review,Hybrid,2610.00,"2,380","2,090","315,840",No Match
2212-0122,Economics of Transportation,Hybrid,2220.00,"2,020","1,780","268,640",No Match
2212-0416,Ecosystem Services,Hybrid,3960.00,"3,610","3,170","479,200",No Match
0147-6513,Ecotoxicology and Environmental Safety,Open access,3220.00,"2,940","2,580","389,650",No Match
1575-1813,Educación Médica,Open access,640.00,580,510,"77,450",No Match
1749-7728,Education for Chemical Engineers,Hybrid,3880.00,"3,540","3,110","469,520",No Match
1747-938X,Educational Research Review,Hybrid,4390.00,"4,000","3,510","531,230",No Match
2667-0410,EFB Bioeconomy Journal,Open access,1800.00,"1,640","1,440","217,820",No Match
1110-8665,Egyptian Informatics Journal,Open access,1200.00,"1,090",960,"145,210",No Match
1687-4285,The Egyptian Journal of Aquatic Research,Open access,1200.00,"1,090",960,"145,210",No Match
1110-0621,Egyptian Journal of Petroleum,Subsidised,**,**,**,**,No Match
2772-610X,EJC Pediatric Oncology,Open access,2280.00,"2,080","1,830","275,900",No Match
2772-6118,EJC Skin Cancer,Open access,2280.00,"2,080","1,830","275,900",No Match
2666-688X,EJVES Vascular Forum,Open access,1838.00,"1,680","1,470","222,420",No Match
0261-3794,Electoral Studies,Hybrid,2730.00,"2,490","2,190","330,360",No Match
0378-7796,Electric Power Systems Research,Hybrid,2600.00,"2,370","2,080","314,630",No Match
1388-2481,Electrochemistry Communications,Open access,2560.00,"2,330","2,050","309,790",No Match
0013-4686,Electrochimica Acta,Hybrid,3680.00,"3,360","2,950","445,320",No Match
1567-4223,Electronic Commerce Research and Applications,Hybrid,2990.00,"2,730","2,390","361,820",No Match
0717-3458,Electronic Journal of Biotechnology,Open access,1700.00,"1,550","1,360","205,720",No Match
2772-8137,Emerging Animal Species,Open access,1970.00,"1,800","1,580","238,390",No Match
2405-6650,Emerging Contaminants,Open access,980.00,890,780,"118,590",No Match
1566-0141,Emerging Markets Review,Hybrid,2970.00,"2,710","2,380","359,400",No Match
2667-1182,"Emerging Trends in Drugs, Addictions, and Health",Open access,2000.00,"1,820","1,600","242,020",No Match
1755-4586,"Emotion, Space and Society",Hybrid,3380.00,"3,080","2,710","409,010",No Match
0160-9327,Endeavour,Hybrid,3120.00,"2,850","2,500","377,550",No Match
2666-3961,Endocrine and Metabolic Science,Open access,2840.00,"2,590","2,270","343,670",No Match
1530-891X,Endocrine Practice,Hybrid,3480.00,"3,170","2,790","421,110",No Match
2530-0164,"Endocrinología, Diabetes y Nutrición",Hybrid,2050.00,"1,870","1,640","248,070",No Match
2530-0180,"Endocrinología, Diabetes y Nutrición (English ed.)",Hybrid,**,**,**,**,No Match
2666-6472,Energetic Materials Frontiers,Subsidised,**,**,**,**,No Match
0360-5442,Energy,Hybrid,4140.00,"3,780","3,310","500,980",No Match
2666-5468,Energy and AI,Open access,3540.00,"3,230","2,830","428,380",No Match
0378-7788,Energy and Buildings,Hybrid,3970.00,"3,620","3,180","480,410",No Match
2666-1233,Energy and Built Environment,Subsidised,**,**,**,**,No Match
2666-2787,Energy and Climate Change,Hybrid,3160.00,"2,880","2,530","382,390",No Match
0196-8904,Energy Conversion and Management,Hybrid,4470.00,"4,080","3,580","540,910",No Match
2590-1745,Energy Conversion and Management: X,Open access,2830.00,"2,580","2,270","342,460",No Match
0140-9883,Energy Economics,Hybrid,3790.00,"3,460","3,030","458,630",No Match
2950-1563,Energy Efficiency First,Open access,2000.00,"1,820","1,600","242,020",No Match
0973-0826,Energy for Sustainable Development,Hybrid,2750.00,"2,510","2,200","332,780",No Match
2666-7592,Energy Geoscience,Subsidised,**,**,**,**,No Match
0301-4215,Energy Policy,Hybrid,3650.00,"3,330","2,920","441,690",No Match
2352-4847,Energy Reports,Open access,2790.00,"2,540","2,230","337,620",No Match
2214-6296,Energy Research & Social Science,Hybrid,3300.00,"3,010","2,640","399,330",No Match
2772-9702,Energy Reviews,Open access,1200.00,"1,090",960,"145,210",No Match
2405-8297,Energy Storage Materials,Hybrid,5000.00,"4,560","4,000","605,050",No Match
2211-467X,Energy Strategy Reviews,Open access,3560.00,"3,250","2,850","430,800",No Match
2589-7780,EnergyChem,Hybrid,3140.00,"2,860","2,510","379,970",No Match
2405-6502,eNeurologicalSci,Open access,3180.00,"2,900","2,550","384,810",No Match
0213-005X,Enfermedades Infecciosas y Microbiología Clínica,Hybrid,2280.00,"2,080","1,830","275,900",No Match
2529-993X,Enfermedades infecciosas y microbiologia clinica (English ed.),Hybrid,2280.00,"2,080","1,830","275,900",No Match
1130-8621,Enfermería Clínica,Hybrid,2490.00,"2,270","1,990","301,310",No Match
2445-1479,Enfermería Clínica (English Edition),Hybrid,2470.00,"2,250","1,980","298,890",No Match
1130-2399,Enfermería Intensiva,Hybrid,2190.00,"2,000","1,750","265,010",No Match
2529-9840,Enfermería Intensiva (English ed.),Hybrid,2040.00,"1,860","1,630","246,860",No Match
2666-1381,Engineered Regeneration,Open access,700.00,640,560,"84,710",No Match
2095-8099,Engineering,Open access,1300.00,"1,190","1,040","157,310",No Match
0955-7997,Engineering Analysis with Boundary Elements,Hybrid,3490.00,"3,180","2,790","422,320",No Match
0952-1976,Engineering Applications of Artificial Intelligence,Hybrid,3110.00,"2,840","2,490","376,340",No Match
1350-6307,Engineering Failure Analysis,Hybrid,3710.00,"3,380","2,970","448,950",No Match
0013-7944,Engineering Fracture Mechanics,Hybrid,4000.00,"3,650","3,200","484,040",No Match
0013-7952,Engineering Geology,Hybrid,3900.00,"3,560","3,120","471,940",No Match
2667-3703,Engineering Microbiology,Open access,1960.00,"1,790","1,570","237,180",No Match
2215-0986,"Engineering Science and Technology, an International Journal",Open access,1400.00,"1,280","1,120","169,410",No Match
0141-0296,Engineering Structures,Hybrid,4440.00,"4,050","3,550","537,280",No Match
0889-4906,English for Specific Purposes,Hybrid,3490.00,"3,180","2,790","422,320",No Match
2950-4899,EngMedicine,Open access,2300.00,"2,100","1,840","278,320",No Match
1875-9521,Entertainment Computing,Hybrid,2760.00,"2,520","2,210","333,990",No Match
0160-4120,Environment International,Open access,4200.00,"3,830","3,360","508,240",No Match
2666-7657,Environmental Advances,Open access,1870.00,"1,710","1,500","226,290",No Match
0098-8472,Environmental and Experimental Botany,Hybrid,3000.00,"2,740","2,400","363,030",No Match
2665-9727,Environmental and Sustainability Indicators,Open access,1810.00,"1,650","1,450","219,030",No Match
2667-0100,Environmental Challenges,Open access,2090.00,"1,910","1,670","252,910",No Match
2590-1826,Environmental Chemistry and Ecotoxicology,Open access,700.00,640,560,"84,710",No Match
2211-4645,Environmental Development,Hybrid,3290.00,"3,000","2,630","398,120",No Match
2773-0581,Environmental Functional Materials,Subsidised,**,**,**,**,No Match
0195-9255,Environmental Impact Assessment Review,Hybrid,3690.00,"3,370","2,950","446,530",No Match
2210-4224,Environmental Innovation and Societal Transitions,Hybrid,3410.00,"3,110","2,730","412,640",No Match
1364-8152,Environmental Modelling & Software,Hybrid,3400.00,"3,100","2,720","411,430",No Match
2215-1532,"Environmental Nanotechnology, Monitoring & Management",Hybrid,3230.00,"2,950","2,590","390,860",No Match
0269-7491,Environmental Pollution,Hybrid,3920.00,"3,580","3,140","474,360",No Match
2950-3051,Environmental Pollution and Management,Subsidised,**,**,**,**,No Match
0013-9351,Environmental Research,Hybrid,3590.00,"3,270","2,870","434,430",No Match
1462-9011,Environmental Science & Policy,Hybrid,4010.00,"3,660","3,210","485,250",No Match
2666-4984,Environmental Science and Ecotechnology,Open access,2000.00,"1,820","1,600","242,020",No Match
2949-8643,Environmental Surfaces and Interfaces,Subsidised,**,**,**,**,No Match
2352-1864,Environmental Technology & Innovation,Open access,2530.00,"2,310","2,030","306,160",No Match
1382-6689,Environmental Toxicology and Pharmacology,Hybrid,3440.00,"3,140","2,750","416,270",No Match
0141-0229,Enzyme and Microbial Technology,Hybrid,3590.00,"3,270","2,870","434,430",No Match
1755-4365,Epidemics,Open access,2660.00,"2,430","2,130","321,890",No Match
1525-5050,Epilepsy & Behavior,Hybrid,2970.00,"2,710","2,380","359,400",No Match
2589-9864,Epilepsy & Behavior Reports ,Open access,2560.00,"2,330","2,050","309,790",No Match
0920-1211,Epilepsy Research,Hybrid,2780.00,"2,540","2,230","336,410",No Match
2949-8198,ESMO Gastrointestinal Oncology,Open access,3020.00,"2,750","2,410","365,450",No Match
2059-7029,ESMO Open,Open access,3730.00,"3,400","2,980","451,370",No Match
2949-8201,ESMO Real World Data and Digital Oncology,Open access,3020.00,"2,750","2,410","365,450",No Match
0272-7714,"Estuarine, Coastal and Shelf Science",Hybrid,3250.00,"2,960","2,600","393,280",No Match
2352-5525,"Ethics, Medicine and Public Health",Hybrid,2390.00,"2,180","1,910","289,210",No Match
2590-1168,eTransportation,Hybrid,3170.00,"2,890","2,540","383,600",No Match
2212-9685,EuPA Open Proteomics,Open access,1700.00,"1,550","1,360","205,720",No Match
2192-4406,EURO Journal on Computational Optimization,Open access,1400.00,"1,280","1,120","169,410",No Match
2192-4376,EURO Journal on Transportation and Logistics,Open access,1400.00,"1,280","1,120","169,410",No Match
1879-7296,"European Annals of Otorhinolaryngology, Head and Neck Diseases",Hybrid,3430.00,"3,130","2,750","415,060",No Match
0014-2921,European Economic Review,Hybrid,3420.00,"3,120","2,740","413,850",No Match
1161-0301,European Journal of Agronomy,Hybrid,3110.00,"2,840","2,490","376,340",No Match
0959-8049,European Journal of Cancer,Hybrid,4020.00,"3,670","3,220","486,460",No Match
1359-6349,European Journal of Cancer Supplements,Open access,**,**,**,**,No Match
0171-9335,European Journal of Cell Biology,Open access,2880.00,"2,630","2,310","348,510",No Match
0195-6698,European Journal of Combinatorics,Hybrid,3150.00,"2,870","2,520","381,180",No Match
0947-3580,European Journal of Control,Hybrid,2850.00,"2,600","2,280","344,880",No Match
1876-3820,European Journal of Integrative Medicine,Hybrid,2290.00,"2,090","1,830","277,110",No Match
0953-6205,European Journal of Internal Medicine,Hybrid,3520.00,"3,210","2,820","425,960",No Match
0997-7538,European Journal of Mechanics - A/Solids,Hybrid,3920.00,"3,580","3,140","474,360",No Match
0997-7546,European Journal of Mechanics - B/Fluids,Hybrid,3260.00,"2,970","2,610","394,490",No Match
1769-7212,European Journal of Medical Genetics,Open access,3250.00,"2,960","2,600","393,280",No Match
0223-5234,European Journal of Medicinal Chemistry,Hybrid,4510.00,"4,110","3,610","545,760",No Match
2772-4174,European Journal of Medicinal Chemistry Reports,Open access,1820.00,"1,660","1,460","220,240",No Match
0301-2115,European Journal of Obstetrics & Gynecology and Reproductive Biology,Hybrid,3340.00,"3,050","2,670","404,170",No Match
2590-1613,European Journal of Obstetrics & Gynecology and Reproductive Biology: X,Open access,2340.00,"2,130","1,870","283,160",No Match
1462-3889,European Journal of Oncology Nursing,Hybrid,3610.00,"3,290","2,890","436,850",No Match
0377-2217,European Journal of Operational Research,Hybrid,3290.00,"3,000","2,630","398,120",No Match
1090-3798,European Journal of Paediatric Neurology,Hybrid,2940.00,"2,680","2,350","355,770",No Match
0928-0987,European Journal of Pharmaceutical Sciences,Open access,2990.00,"2,730","2,390","361,820",No Match
0939-6411,European Journal of Pharmaceutics and Biopharmaceutics,Hybrid,4030.00,"3,680","3,230","487,670",No Match
0014-2999,European Journal of Pharmacology,Hybrid,3060.00,"2,790","2,450","370,290",No Match
0176-2680,European Journal of Political Economy,Hybrid,3510.00,"3,200","2,810","424,750",No Match
0932-4739,European Journal of Protistology,Hybrid,3170.00,"2,890","2,540","383,600",No Match
0720-048X,European Journal of Radiology,Hybrid,3340.00,"3,050","2,670","404,170",No Match
2352-0477,European Journal of Radiology Open,Open access,2540.00,"2,320","2,030","307,370",No Match
1164-5563,European Journal of Soil Biology,Hybrid,3520.00,"3,210","2,820","425,960",No Match
0748-7983,European Journal of Surgical Oncology,Hybrid,3810.00,"3,480","3,050","461,050",No Match
2468-7499,European Journal of Trauma & Dissociation,Hybrid,2020.00,"1,840","1,620","244,440",No Match
1078-5884,European Journal of Vascular and Endovascular Surgery,Hybrid,3760.00,"3,430","3,010","455,000",No Match
0263-2373,European Management Journal,Hybrid,2160.00,"1,970","1,730","261,380",No Match
0924-977X,European Neuropsychopharmacology,Hybrid,3000.00,"2,740","2,400","363,030",No Match
0014-3057,European Polymer Journal,Hybrid,4170.00,"3,800","3,340","504,610",No Match
2444-8834,European Research on Management and Business Economics,Open access,1350.00,"1,230","1,080","163,360",No Match
1162-9088,Revue Européenne de Psychologie Appliquée,Hybrid,3030.00,"2,760","2,430","366,660",No Match
2950-2985,European Transport Studies,Open access,1100.00,"1,000",880,"133,110",No Match
0302-2838,European Urology,Hybrid,5250.00,"4,790","4,200","635,300",No Match
2405-4569,European Urology Focus,Hybrid,3800.00,"3,470","3,040","459,840",No Match
2588-9311,European Urology Oncology,Hybrid,3790.00,"3,460","3,030","458,630",No Match
2666-1683,European Urology Open Science,Open access,1800.00,"1,640","1,440","217,820",No Match
0149-7189,Evaluation and Program Planning,Hybrid,3270.00,"2,980","2,620","395,700",No Match
1090-5138,Evolution and Human Behavior,Hybrid,4130.00,"3,770","3,310","499,770",No Match
2666-657X,Examples and Counterexamples,Open access,410.00,370,330,"49,610",No Match
0014-4800,Experimental and Molecular Pathology,Open access,2570.00,"2,340","2,060","311,000",No Match
0014-4827,Experimental Cell Research,Hybrid,3070.00,"2,800","2,460","371,500",No Match
0014-4835,Experimental Eye Research,Hybrid,3860.00,"3,520","3,090","467,100",No Match
0531-5565,Experimental Gerontology,Open access,3310.00,"3,020","2,650","400,540",No Match
0301-472X,Experimental Hematology,Hybrid,3250.00,"2,960","2,600","393,280",No Match
0014-4886,Experimental Neurology,Hybrid,3810.00,"3,480","3,050","461,050",No Match
0014-4894,Experimental Parasitology,Hybrid,3340.00,"3,050","2,670","404,170",No Match
0894-1777,Experimental Thermal and Fluid Science,Hybrid,3610.00,"3,290","2,890","436,850",No Match
0957-4174,Expert Systems with Applications,Hybrid,3320.00,"3,030","2,660","401,750",No Match
0014-4983,Explorations in Economic History,Hybrid,3170.00,"2,890","2,540","383,600",No Match
2667-2766,Exploratory Research in Clinical and Social Pharmacy,Open access,2090.00,"1,910","1,670","252,910",No Match
1550-8307,EXPLORE,Hybrid,2030.00,"1,850","1,630","245,650",No Match
0723-0869,Expositiones Mathematicae,Hybrid,3310.00,"3,020","2,650","400,540",No Match
2773-0417,Extracellular Vesicle,Open access,2800.00,"2,550","2,240","338,830",No Match
2352-4316,Extreme Mechanics Letters,Hybrid,3690.00,"3,370","2,950","446,530",No Match
2666-3341,F&S Reports,Open access,2000.00,"1,820","1,600","242,020",No Match
2666-5719,F&S Reviews,Hybrid,3500.00,"3,190","2,800","423,540",No Match
2666-335X,F&S Science,Hybrid,3500.00,"3,190","2,800","423,540",No Match
2949-9119,Farming System,Open access,1800.00,"1,640","1,440","217,820",No Match
0015-0282,Fertility and Sterility,Hybrid,4020.00,"3,670","3,220","486,460",No Match
0378-4290,Field Crops Research,Hybrid,3570.00,"3,260","2,860","432,010",No Match
1544-6123,Finance Research Letters,Hybrid,3450.00,"3,150","2,760","417,480",No Match
0168-874X,Finite Elements in Analysis and Design,Hybrid,2900.00,"2,650","2,320","350,930",No Match
1071-5797,Finite Fields and Their Applications,Hybrid,2640.00,"2,410","2,110","319,470",No Match
0379-7112,Fire Safety Journal,Hybrid,3660.00,"3,340","2,930","442,900",No Match
2667-1344,FirePhysChem,Subsidised,**,**,**,**,No Match
2949-8406,First Nations Health and Wellbeing - The Lowitja Journal,Open access,500.00,460,400,"60,510",No Match
1050-4648,Fish & Shellfish Immunology,Hybrid,4200.00,"3,830","3,360","508,240",No Match
0165-7836,Fisheries Research,Hybrid,3570.00,"3,260","2,860","432,010",No Match
0211-5638,Fisioterapia,Hybrid,1960.00,"1,790","1,570","237,180",No Match
0367-326X,Fitoterapia,Hybrid,3830.00,"3,490","3,070","463,470",No Match
2452-2627,FlatChem,Hybrid,2980.00,"2,720","2,390","360,610",No Match
0367-2530,Flora,Hybrid,2820.00,"2,570","2,260","341,250",No Match
0955-5986,Flow Measurement and Instrumentation,Hybrid,2990.00,"2,730","2,390","361,820",No Match
0378-3812,Fluid Phase Equilibria,Hybrid,3520.00,"3,210","2,820","425,960",No Match
0960-3085,Food and Bioproducts Processing,Hybrid,3970.00,"3,620","3,180","480,410",No Match
0278-6915,Food and Chemical Toxicology,Hybrid,4520.00,"4,120","3,620","546,970",No Match
2405-6766,Food and Waterborne Parasitology,Open access,2500.00,"2,280","2,000","302,530",No Match
2212-4292,Food Bioscience,Hybrid,3240.00,"2,960","2,590","392,070",No Match
0308-8146,Food Chemistry,Hybrid,4620.00,"4,210","3,700","559,070",No Match
2772-753X,Food Chemistry Advances,Open access,2030.00,"1,850","1,630","245,650",No Match
2666-5662,Food Chemistry: Molecular Sciences,Open access,2260.00,"2,060","1,810","273,480",No Match
2590-1575,Food Chemistry: X,Open access,2270.00,"2,070","1,820","274,690",No Match
0956-7135,Food Control,Hybrid,4210.00,"3,840","3,370","509,450",No Match
0268-005X,Food Hydrocolloids,Hybrid,4840.00,"4,410","3,870","585,690",No Match
0740-0020,Food Microbiology,Hybrid,4090.00,"3,730","3,270","494,930",No Match
2214-2894,Food Packaging and Shelf Life,Hybrid,4350.00,"3,970","3,480","526,390",No Match
2950-0699,Food Physics,Subsidised,700.00,640,560,"84,710",No Match
0306-9192,Food Policy,Hybrid,4090.00,"3,730","3,270","494,930",No Match
0950-3293,Food Quality and Preference,Hybrid,4290.00,"3,910","3,430","519,130",No Match
0963-9969,Food Research International,Hybrid,4190.00,"3,820","3,350","507,030",No Match
2213-4530,Food Science and Human Wellness,Subsidised,**,**,**,**,No Match
2213-3291,Food Structure,Hybrid,3470.00,"3,160","2,780","419,900",No Match
2352-2496,Food Webs,Hybrid,2830.00,"2,580","2,270","342,460",No Match
2667-3967,"Foot & Ankle Surgery: Techniques, Reports & Cases",Open access,2000.00,"1,820","1,600","242,020",No Match
1268-7731,Foot and Ankle Surgery,Hybrid,3900.00,"3,560","3,120","471,940",No Match
2666-3597,Forces in Mechanics,Open access,2000.00,"1,820","1,600","242,020",No Match
2468-1709,Forensic Chemistry,Hybrid,4200.00,"3,830","3,360","508,240",No Match
2666-2256,Forensic Imaging,Hybrid,3180.00,"2,900","2,550","384,810",No Match
0379-0738,Forensic Science International,Hybrid,4370.00,"3,990","3,500","528,810",No Match
2666-9374,Forensic Science International: Animals and Environments,Open access,1700.00,"1,550","1,360","205,720",No Match
2666-2817,Forensic Science International: Digital Investigation,Hybrid,3010.00,"2,750","2,410","364,240",No Match
1872-4973,Forensic Science International: Genetics,Hybrid,4860.00,"4,430","3,890","588,110",No Match
1875-1768,Forensic Science International: Genetics Supplement Series,Hybrid,3090.00,"2,820","2,470","373,920",No Match
2666-3538,Forensic Science International: Mind and Law,Open access,2010.00,"1,830","1,610","243,230",No Match
2665-9107,Forensic Science International: Reports,Open access,1060.00,970,850,"128,270",No Match
2589-871X,Forensic Science International: Synergy,Open access,2250.00,"2,050","1,800","272,270",No Match
0378-1127,Forest Ecology and Management,Hybrid,3460.00,"3,160","2,770","418,690",No Match
2197-5620,Forest Ecosystems,Subsidised,**,**,**,**,No Match
1389-9341,Forest Policy and Economics,Hybrid,4120.00,"3,760","3,300","498,560",No Match
2773-1863,Franklin Open,Open access,1900.00,"1,730","1,520","229,920",No Match
0891-5849,Free Radical Biology and Medicine,Hybrid,3930.00,"3,580","3,150","475,570",No Match
0091-3022,Frontiers in Neuroendocrinology,Hybrid,4560.00,"4,160","3,650","551,810",No Match
2095-2635,Frontiers of Architectural Research,Open access,1500.00,"1,370","1,200","181,520",No Match
0016-2361,Fuel,Hybrid,4200.00,"3,830","3,360","508,240",No Match
2666-0520,Fuel Communications,Open access,1760.00,"1,610","1,410","212,980",No Match
0378-3820,Fuel Processing Technology,Open access,3100.00,"2,830","2,480","375,130",No Match
2772-8285,Fundamental Plasma Physics,Open access,1040.00,950,830,"125,850",No Match
2667-3258,Fundamental Research,Subsidised,**,**,**,**,No Match
1878-6146,Fungal Biology,Hybrid,2000.00,"1,820","1,600","242,020",No Match
1749-4613,Fungal Biology Reviews,Hybrid,3000.00,"2,740","2,400","363,030",No Match
1754-5048,Fungal Ecology,Hybrid,3200.00,"2,920","2,560","387,230",No Match
1087-1845,Fungal Genetics and Biology,Hybrid,3090.00,"2,820","2,470","373,920",No Match
2773-2150,Fungal Interactions,Open access,1950.00,"1,780","1,560","235,970",No Match
0920-3796,Fusion Engineering and Design,Hybrid,2650.00,"2,420","2,120","320,680",No Match
2950-2640,Future Batteries,Open access,1900.00,"1,730","1,520","229,920",No Match
2666-8335,Future Foods,Open access,1940.00,"1,770","1,550","234,760",No Match
0167-739X,Future Generation Computer Systems,Hybrid,2910.00,"2,650","2,330","352,140",No Match
2514-6645,Future Healthcare Journal,Open access,2000.00,"1,820","1,600","242,020",No Match
0016-3287,Futures,Hybrid,2300.00,"2,100","1,840","278,320",No Match
0165-0114,Fuzzy Sets and Systems,Hybrid,2480.00,"2,260","1,990","300,100",No Match
1619-9987,Fuss & Sprunggelenk,Hybrid,2610.00,"2,380","2,090","315,840",No Match
0213-9111,Gaceta Sanitaria,Subsidised,**,**,**,**,No Match
0966-6362,Gait & Posture,Hybrid,3370.00,"3,070","2,700","407,800",No Match
0899-8256,Games and Economic Behavior,Hybrid,2410.00,"2,200","1,930","291,630",No Match
2949-9089,Gas Science and Engineering,Hybrid,3450.00,"3,150","2,760","417,480",No Match
2772-5723,Gastro Hep Advances,Open access,2000.00,"1,820","1,600","242,020",No Match
0016-5085,Gastroenterology,Hybrid,4180.00,"3,810","3,350","505,820",No Match
2949-7523,Gastroenterology & Endoscopy,Subsidised,**,**,**,**,No Match
0210-5705,Gastroenterología y Hepatología,Hybrid,2400.00,"2,190","1,920","290,420",No Match
2444-3824,Gastroenterología y Hepatología (English Edition),Hybrid,**,**,**,**,No Match
0016-5107,Gastrointestinal Endoscopy,Hybrid,3450.00,"3,150","2,760","417,480",No Match
0378-1119,Gene,Hybrid,3060.00,"2,790","2,450","370,290",No Match
2666-3880,Gene and Genome Editing,Open access,3100.00,"2,830","2,480","375,130",No Match
1567-133X,Gene Expression Patterns,Hybrid,2830.00,"2,580","2,270","342,460",No Match
2452-0144,Gene Reports,Hybrid,2860.00,"2,750","2,410","346,090",No Match
0016-6480,General and Comparative Endocrinology,Hybrid,3440.00,"3,140","2,750","416,270",No Match
0163-8343,General Hospital Psychiatry,Hybrid,3470.00,"3,160","2,780","419,900",No Match
2352-3042,Genes & Diseases,Open access,2500.00,"2,280","2,000","302,530",No Match
1098-3600,Genetics in Medicine,Hybrid,4890.00,"4,460","3,910","591,740",No Match
2949-7744,Genetics in Medicine Open,Open access,3200.00,"2,920","2,560","387,230",No Match
0888-7543,Genomics,Open access,2980.00,"2,720","2,390","360,610",No Match
1672-0229,"Genomics, Proteomics & Bioinformatics",Open access,3650.00,"3,330","2,920","441,690",No Match
0016-6995,Geobios,Hybrid,2890.00,"2,640","2,310","349,720",No Match
0009-2819,Geochemistry,Hybrid,3250.00,"2,960","2,600","393,280",No Match
0016-7037,Geochimica et Cosmochimica Acta,Hybrid,3840.00,"3,500","3,070","464,680",No Match
3050-483X,Geodata and AI,Open access,2000.00,"1,820","1,600","242,020",No Match
0016-7061,Geoderma,Open access,3240.00,"2,960","2,590","392,070",No Match
2352-0094,Geoderma Regional,Hybrid,2190.00,"2,000","1,750","265,010",No Match
1674-9847,Geodesy and Geodynamics,Subsidised,**,**,**,**,No Match
2949-8910,Geoenergy Science and Engineering,Hybrid,3530.00,"3,220","2,830","427,170",No Match
0016-7185,Geoforum,Hybrid,3270.00,"2,980","2,620","395,700",No Match
2666-6839,Geography and Sustainability,Open access,1700.00,"1,550","1,360","205,720",No Match
1195-1036,Geomatica,Open access,1650.00,"1,500","1,320","199,670",No Match
2352-3808,Geomechanics for Energy and the Environment,Hybrid,2960.00,"2,700","2,370","358,190",No Match
0169-555X,Geomorphology,Hybrid,3300.00,"3,010","2,640","399,330",No Match
1674-9871,Geoscience Frontiers,Open access,3000.00,"2,740","2,400","363,030",No Match
2772-8838,Geosystems and Geoenvironment,Open access,2000.00,"1,820","1,600","242,020",No Match
0266-1144,Geotextiles and Geomembranes,Hybrid,3740.00,"3,410","2,990","452,580",No Match
0375-6505,Geothermics,Hybrid,3100.00,"2,830","2,480","375,130",No Match
0197-4572,Geriatric Nursing,Hybrid,3120.00,"2,850","2,500","377,550",No Match
2666-5425,Giant,Open access,2890.00,"2,640","2,310","349,720",No Match
2950-4074,Glial Health Research,Open access,1900.00,"1,730","1,520","229,920",No Match
2950-4740,Global and Earth Surface Processes Change,Open access,2100.00,"1,920","1,680","254,120",No Match
0921-8181,Global and Planetary Change,Hybrid,3030.00,"2,760","2,430","366,660",No Match
3050-502X,Global Challenges & Regional Science,Open access,1800.00,"1,640","1,440","217,820",No Match
2351-9894,Global Ecology and Conservation,Open access,2470.00,"2,250","1,980","298,890",No Match
2096-5117,Global Energy Interconnection,Subsidised,**,**,**,**,No Match
0959-3780,Global Environmental Change,Hybrid,5700.00,"5,200","4,560","689,760",No Match
2950-1385,Global Environmental Change Advances,Open access,1900.00,"1,730","1,520","229,920",No Match
2590-1133,Global Epidemiology,Open access,2600.00,"2,370","2,080","314,630",No Match
